"schema","uuid","id","title","abstract","datasetURI","category","metadatacreationdate","date-publication","date-revision","temporal_extent_start","temporal_extent_end","keyword","geoBox","LegalConstraints","link","format","contact-pointOfContact","keyword-1","Constraints"
"iso19139","08cefbf9-f649-45d2-b1bb-91e20274ccc7","102107","Census Designated Places: Michigan, 2015","Census Designated Places (CDPs) from the Michigan Geographic Framework (MGF) base map. These arethe statistical counterparts of incorporated places, and are delineated to provide data for settled concentrations of population that are identifiable by name but are not legally incorporated under the laws of the state in which they are located. The boundaries usually are defined in cooperation with local or tribal officials and generally updated prior to each decennial census. These boundaries, which usually coincide with visible features or the boundary of an adjacent incorporated place or another legal entity boundary, have no legal status, nor do these places have officials elected to serve traditional municipal functions. CDP boundaries may change from one decennial census to the next with changes in the settlement pattern; a CDP with the same name as in an earlier census does not necessarily have the same boundary. CDPs must be contained within a single state and may not extend into an incorporated place. There are no population size requirements for CDPs.","","dataset","2016-07-18T15:18:20","2015-02-25T21:37:54","2016-07-10T18:54:09","2015","2015","Michigan, United States###Demographics###Census","-88.4579###-82.2626###41.7008###47.2141","public","https://gis.michigan.opendata.arcgis.com/datasets/2e7d9b6b3f2c435baba8492eca5b5a01_4.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/4###https://gis.michigan.opendata.arcgis.com/datasets/2e7d9b6b3f2c435baba8492eca5b5a01_4","ESRI Shapefile","","","",
"iso19139","0f45f6bf-3231-4ecf-b58d-8ad4860cf845","102100","Hemlock Host Species: Michigan, 2008","Hemlock Host Species 2008 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","","dataset","2016-07-18T15:18:26","2015-12-09T16:11:35","2016-07-11T18:54:37","2008","2008","Forests###Trees###Michigan, United States","-89.8035###-83.1847###42.5533###47.1482","public","https://gis.michigan.opendata.arcgis.com/datasets/1bc287e1add941f4a983277c4db7b421_10.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/10###https://gis.michigan.opendata.arcgis.com/datasets/1bc287e1add941f4a983277c4db7b421_10","ESRI Shapefile","","","",
"iso19139","19150e5d-e779-4955-81a1-a88638d8ace0","102093","Aquifer Characteristics Of Glacial Drift: Michigan, 2015","This data set was derived from the 1981 publication of the Hydrological Atlas of Michigan plate 26. Three plates of the Aquifer Characteristics of Glacial Drift map were scanned, geo-rectified and used as a backdrop in the digitizing of this polygon vector file.","","dataset","2016-08-23T10:06:24","2015-02-19T20:58:22","2016-05-16T13:21:44","2015","2015","Hydrology###Aquifers###Michigan, United States","-90.5567###-82.0649###41.6321###48.2841","public","https://gis.michigan.opendata.arcgis.com/datasets/dedc96080ba0436387e4881144071cb1_7.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/7###https://gis.michigan.opendata.arcgis.com/datasets/dedc96080ba0436387e4881144071cb1_7","ESRI Shapefile","","","",
"iso19139","151b9a83-8a1f-44d3-9efc-fa24e0c5550b","102097","Lake Erie Shoreline: Michigan, 2015","Lake Erie Shoreline","","dataset","2016-08-23T10:08:09","2015-02-28T19:51:48","2016-07-10T18:53:41","2015","2015","Michigan, United States###Hydrology","-83.5803###-78.7663###41.1976###43.1033","public","https://gis.michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/11###https://gis.michigan.opendata.arcgis.com/datasets/aea5edbfa8bd43d09775c1fa8c27a520_11","ESRI Shapefile","","","",
"iso19139","1d13e807-dc74-411a-a682-41f1b615430f","102086","Point Location Assessment Units: Michigan, 2015","Michigan Point Location Assessment Units","","dataset","2016-08-23T10:08:30","2015-03-01T15:02:16","2016-05-22T13:20:49","2015","2015","Michigan, United States","-90.0102###-82.11###41.7105###47.4768","public","https://gis.michigan.opendata.arcgis.com/datasets/3d20c7a9ce5b47159e96a2293f3cfcbc_0.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/0###https://gis.michigan.opendata.arcgis.com/datasets/3d20c7a9ce5b47159e96a2293f3cfcbc_0","ESRI Shapefile","","","",
"iso19139","0ded2ebf-d437-472e-af07-122ea768e75a","102101","Aerial Forest Survey Pattern: Michigan, 2003","This data was taken from an aerial survey of forests","","dataset","2016-11-23T14:58:26","2016-07-04T16:56:00","2016-07-09T18:54:24","2003","2003","Forests###Trees###Michigan, United States","-88.7774###-82.2623###41.7181###46.7765","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_10.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/10###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_10","ESRI Shapefile","","","",
"iso19139","1afdfec0-4649-4e2f-af3d-2f9a871fe164","102089","Aerial Forest Survey Pattern: Michigan, 2012","This data was taken from an aerial survey of forests","","dataset","2016-11-29T15:00:01","2016-01-06T18:05:16","2016-07-11T18:56:01","2012","2012","Forests###Trees###Michigan, United States","-89.1524###-83.124###42.3454###48.1604","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_37.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/37###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_37","ESRI Shapefile","","","",
"iso19139","11f74fff-4388-4aeb-a208-acbafe4b92aa","102098","Aerial Forest Survey Pattern: Michigan, 2013","This data was taken from an aerial survey of forests","","dataset","2016-11-29T15:01:31","2016-01-06T18:03:18","2016-07-11T18:56:04","2013","2013","Forests###Trees###Michigan, United States","-90.259###-82.9865###41.8739###48.1649","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_40.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/40###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_40","ESRI Shapefile","","","",
"iso19139","0ac17a01-b2f9-49c9-9708-f484737d00bd","102106","Aerial Forest Survey Pattern: Michigan, 2001","This dataset was taken from an aerial survey of forests","","dataset","2016-12-02T15:48:17","2016-07-01T16:51:00","2016-07-06T18:54:36","2001","2001","Michigan, United States###Michigan","-90.5379###-83.1516###42.2861###48.1735","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_4.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/4###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_4","ESRI Shapefile","","","",
"iso19139","021d0ddf-1a3b-44e5-932f-b9aafb014285","102112","Hunter Access Program Land Areas: Michigan, 2015","Hunter Access Program Lands include lands managed by private citizens in agreement with the Michigan Department of Natural Resources that are open to public hunting. Please double check with the appropriate agency for specific rules, regulations, and restrictions.","","dataset","2016-12-12T15:29:35","2015-12-10T15:40:03.000Z","2016-07-12T18:56:04.822Z","2015","2015","Michigan, United States###Hunting","-86.4824###-82.3294###41.683###46.4541","public","https://gis.michigan.opendata.arcgis.com/datasets/45eb3aa7cb014130b0d509b7f51b6918_2.zip###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrHuntableLands/MapServer/2###https://gis.michigan.opendata.arcgis.com/datasets/45eb3aa7cb014130b0d509b7f51b6918_2","ESRI Shapefile","","","",
"iso19139","1574c37f-5551-4e8a-8b73-f12fb6ccac48","102095","Aerial Forest Survey Disease/Pest: Michigan, 2002","This dataset was taken from an aerial survey of forests","","dataset","2016-11-18T14:53:15","2016-07-06T16:52:41","2016-07-11T18:54:02","2002","2002","Forests###Trees###Michigan, United States","-90.0891###-82.441###41.9363###48.0507","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_8###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_8.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/8","ESRI Shapefile","","","",
"iso19139","113794a8-ce8b-4f07-b298-cb374796f830","102099","Aerial Forest Survey Pattern: Michigan, 2002","This data was taken from an aerial survey of forests","","dataset","2016-11-18T14:31:41","2016-07-06T16:52:10","2016-07-11T18:54:37","2002","2002","Forests###Trees###Michigan, United States","-90.0891###-82.441###41.9363###48.0507","public","https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_7.zip###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_7###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/7","ESRI Shapefile","","","",
"iso19139","fe880258-0260-479f-8c1f-46b53306c2cc","101872","Traffic Volumes: Michigan, 2011","The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and theCommercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercialvehicles.Data DictionaryData Quality:For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:AADT & CAADT volumes are created and released every year.Contact:Kevin Krzeminski","2bcfd62c243e462ea4ff040f8581fe5f_5","dataset","2017-04-07T12:35:21","","","2011","2011","Michigan, United States","-88.4579###-82.2626###41.7008###47.2141","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5.zip###https://opengeometadata.github.io/big-ten/fe/88/02/580260479f8c1f46b53306c2cc/iso19139###https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/5###https://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","fda69aac-0ee2-4bb8-a196-8e9f322a4a37","101874","Ash Host Species: Michigan, 2014","Ash Host Species 2014 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","132d9fff80224f9cbe8f05d8290e377b_20","dataset","2017-04-07T12:34:48","","","2014","2014","Forests###Trees###Michigan, United States","-90.258###-83.2547###43.477###48.1501","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/132d9fff80224f9cbe8f05d8290e377b_20.zip###https://opengeometadata.github.io/big-ten/fd/a6/9a/ac0ee24bb8a1968e9f322a4a37/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/20###https://gis-michigan.opendata.arcgis.com/datasets/132d9fff80224f9cbe8f05d8290e377b_20","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","20b06510-02eb-4288-8042-07d7fe2eb34a","102084","Michigan DNR Designated Ski Trails: Michigan, 2015","Designated Ski Trails are the trails specifically designated for Cross-Country Skiing. Other uses may exist including, but not limited to motorized vehicles, hiking pathways, equestrian trails, etc. The trails are located on State, Federal, County, Local, and Private Lands.","d2efb1e309234794963e6a8c8b2077d5_4","dataset","2017-04-07T12:34:35","","","2015","2015","Michigan, United States","-90.5436###-82.0796###41.6457###48.1903","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/d2efb1e309234794963e6a8c8b2077d5_4.zip###https://opengeometadata.github.io/big-ten/20/b0/65/1002eb4288804207d7fe2eb34a/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/open_Trails/FeatureServer/4###https://gis-michigan.opendata.arcgis.com/datasets/d2efb1e309234794963e6a8c8b2077d5_4","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","1fe45c0a-31ec-4b24-bee9-dd79b8b4a3da","102085","Aerial Forest Survey Pattern: Michigan, 2007","This data was taken from an aerial survey of forests","01cf7cfc9a044cae9e4f78d943c38880_22","dataset","2017-04-07T12:35:12","2016-07-07","2017-03-15","2007","2007","Forests###Trees###Michigan, United States","-90.1571###-83.2295###42.3503###48.1063","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/01cf7cfc9a044cae9e4f78d943c38880_22.zip###https://gis-michigan.opendata.arcgis.com/datasets/01cf7cfc9a044cae9e4f78d943c38880_22###https://opengeometadata.github.io/big-ten/1f/e4/5c/0a31ec4b24bee9dd79b8b4a3da/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/22","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","fdb02e89-718b-45f5-9edc-763601f50b0e","101873","Traffic Volumes: Michigan, 2012","The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and theCommercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercialvehicles.Data DictionaryData Quality:For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:AADT & CAADT volumes are created and released every year.Contact:Kevin Krzeminski","2bcfd62c243e462ea4ff040f8581fe5f_6","dataset","2017-04-07T12:34:54","","","2012","2012","Michigan, United States","-88.4579###-82.2626###41.7008###47.2141","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_6.zip###https://opengeometadata.github.io/big-ten/fd/b0/2e/89718b45f59edc763601f50b0e/iso19139###https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/6###https://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_6","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","21582b79-d426-4e1d-a72a-9d2c2a62a5c4","102083","Michigan DNR Parks and Recreation Management Units: Michigan, 2015","This dataset covers Michigan DNR Parks and Recreation Management Units.","e73aeb94fa1b4443acd522bb5108ec2e_6","dataset","2017-04-07T12:35:27","","","2015","2015","Michigan, United States","-90.5569###-82.0703###41.6321###48.2841","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/e73aeb94fa1b4443acd522bb5108ec2e_6.zip###https://opengeometadata.github.io/big-ten/21/58/2b/79d4264e1da72a9d2c2a62a5c4/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrParksAndRecreation/MapServer/6###https://gis-michigan.opendata.arcgis.com/datasets/e73aeb94fa1b4443acd522bb5108ec2e_6","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
